Mol,Med,Voie,Cible,Indication,Code_LES,Code_ATU/Post_ATU/AAC/AAP/CPC,Code_UCD
ANAGRELIDE,XAGRID,,Hématologique,"Réduction du nombre élevé de plaquettes chez les patients à risque atteints de thrombocytémie essentielle (par un ou plusieurs des critères suivants : > 60 ans d'âge, ou numération plaquettaire > 1000 x 109/L, ou antécédents thrombohémorragiques), présentant une intolérance à leur traitement actuel ou dont le nombre élevé de plaquettes n'est pas réduit à un niveau acceptable par leur traitement actuel.",,,
ANAGRÉLIDE,XAGRID,PO,Hématologique,"Réduction du nombre élevé de plaquettes chez les patients à risque atteints de thrombocytémie essentielle (par un ou plusieurs des critères suivants : > 60 ans d'âge, ou numération plaquettaire > 1000 x 109/L, ou antécédents thrombohémorragiques), présentant une intolérance à leur traitement actuel ou dont le nombre élevé de plaquettes n'est pas réduit à un niveau acceptable par leur traitement actuel.",,,
ANASTROZOLE,ARIMIDEX,PO,Sein,"Traitement du cancer du sein avancé à récepteurs hormonaux positifs chez la femme ménopausée , 
- Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux positifs à un stade précoce chez la femme ménopausée ,
- Traitement adjuvant du cancer du sein invasif à récepteurs hormonaux positifs à un stade précoce chez la femme ménopausée ayant reçu untraitement adjuvant par le tamoxifène pendant 2 à 3 ans.",,,
APALUTAMIDE,ERLEADA,PO,Uro/néphrologie,"Traitement des hommes adultes atteints d’un cancer de la prostate métastatique hormonosensible (mHSPC) de haut volume, pour lesquels un traitement par acétate d’abiratérone + prednisone ou prednisolone, ou par docétaxel ne peut être considéré, en association avec un traitement par suppression androgénique (ADT)",,CAPAL02,
ARSENIC TRIOXYDE,TRISENOX,IV,Hématologique,"Induction de la rémission et la consolidation chez des patients adultes atteints de leucémie promyélocytaire aiguë (LPA) en rechute/réfractaire (le traitement antérieur doit avoir comporté un rétinoïde et une chimiothérapie), caractérisée par la présence de la translocation t(15,17) et/ou la présence du gène PML/RAR-alpha (Pro-Myelocytic Leukaemia/Retinoic Acid Receptor-alpha).",I000354,,"9453766
9449730
9000202
9242911
9453938
"
ASCIMINIB,SCEMBLIX,PO,Hématologique,"Monothérapie de la leucémie myéloïde chronique (LMC) en phase chronique sans mutation T315I, précédemment traitée par tous les inhibiteurs de tyrosine kinase (ITK) disponibles sur le marché et ayant rechuté, ou réfractaire ou intolérance aux ITK d'après l'évaluation du médecin, ou pour qui le traitement par un ou plusieurs ITK disponibles est contre-indiqué.",,NASCI07,
ASPARAGINASE,KIDROLASE,IV,Hématologique,Traitement des leucémies aiguës lymphoblastiques.,,,
ASPARAGINASE RECOMBINANTE,SPECTRILA,IV,Hématologique,Polychimiothérapie anticancéreuse dans le traitement de la leucémie aiguë lymphoblastique (LAL) chez les enfants et adolescents de la naissance à 18 ans et chez les adultes.,,,
ATEZOLIZUMAB,ATEZOLIZUMAB,IV,Sein,"Atezolizumab, en association au nab-paclitaxel, est indiqué dans le traitement des patients adultes atteints d’un cancer du sein triple négatif localement avancé non résécable ou métastatique, dont les tumeurs présentent une expression de PD-L1 ≥ 1% et n’ayant pas précédemment reçu de chimiothérapie en situation métastatique.",,CATEZ01,
ATEZOLIZUMAB,TECENTRIQ,IV,Digestif,"En association au bevacizumab dans le traitement des patients adultes atteints d'un carcinome hépatocellulaire (CHC) avancé ou non résécable, n’ayant pas reçu de traitement systémique antérieur uniquement chez les patients avec une fonction hépatique préservée (stade Child-Pugh A), un score ECOG 0 ou 1, et non éligibles aux traitements locorégionaux ou en échec à l’un de ces traitements",I000569,,"9000225 (840 mg)
9431262 (1200 mg)"
AVAPRITINIB,AYVAKYT,PO,Digestif,En monothérapie dans le traitement des patients adultes atteints de tumeurs stromales gastro-intestinale (GIST) inopérables ou métastatiques présentant une mutation D842V du récepteur du facteur de croissance derivé des plaquettes alpha (PDGFRA),,CAVAP01,"9000652 (100 mg)
9000792 (200 mg)
9000793 (300 mg)"
AVELUMAB,BAVENCIO,IV,Uro/néphrologie,"En association avec axitinib, dans le traitement de première ligne des patients adultes atteints de carcinome à cellules rénales (CCR) à un stade avancé, uniquement à cellules claires ou comportant un contingent de cellules claires",,,
AXICABTAGENE CILOLEUCEL,YESCARTA,IV,Hématologique,"Traitement des patients adultes atteints de lymphome de haut grade à cellules B (LHGCB) éligibles à une stratégie d’autogreffe de CSH, et les patients atteints de lymphome diffus à grandes cellules B (LDGCB) et LHGCB et non éligibles à une stratégie d’autogreffe de CSH, ayant rechuté dans les 12 mois après la fin de la première ligne de chimio-immunothérapie, ou qui y sont réfractaires",,CAXIC02,9440456
AXITINIB,INLYTA,PO,Uro/néphrologie,Traitement des patients adultes atteints de cancer du rein avancé (RCC) après échec d’un traitement antérieur par sunitinib ou cytokine,,,
AZACITIDINE,ONUREG,PO,Hématologique,"ONUREG est indiqué pour le traitement de maintenance chez les patients adultes atteints de leucémie aiguë myéloïde (LAM) ayant obtenu une rémission complète (RC) ou une rémission complète avec récupération incomplète de la numération formule sanguine (RCi) après une thérapie d'induction avec ou sans traitement de consolidation, et qui ne sont pas éligibles à une greffe de cellules souches hématopoïétiques (GCSH).",,,
AZACITIDINE,VIDAZA,SC,Hématologique,"Traitement des patients adultes non éligibles pour une greffe de cellules souches hématopoïétiques et présentant une leucémie aiguë myéloblastique (LAM) avec 20 à 30 % de blastes et dysplasie de lignées multiples, selon la classification de l'Organisation mondiale de la santé (OMS)",I000374,,
BELANTAMAB MAFODOTIN,BLENREP,IV,Hématologique,"En monothérapie pour le traitement des patients adultes atteints de myélome multiple, ayant reçu au moins 4 traitements antérieurs et dont la maladie est réfractaire à au moins un inhibiteur du protéasome, un agent immunomodulateur et un anticorps monoclonal anti-CD38, et dont la maladie a progressé lors du dernier traitement.",,,
BELINOSTAT,BELEODAQ,IV,Hématologique,Lymphome T périphérique en rechute ou réfractaire,,NBELI01,9445614
BENDAMUSTINE,LEVACT,IV,Hématologique,Traitement de première ligne de la leucémie lymphoïde chronique (stade Binet B ou C) des patients chez qui une polychimiothérapie comportant de la fludarabine n'est pas appropriée.,I000224,,
BEVACIZUMAB,ABEVMY,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9001247 (ABEVMY FL16ML)
9001249 (ABEVMY FL4ML)"
BEVACIZUMAB,ALYMSYS,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9001120 (ALYMSYS FL16ML)
9001121 (ALYMSYS FL4ML)"
BEVACIZUMAB,AVASTIN,,Sein,"AVASTIN en association au paclitaxel, est indiqué en traitement de première ligne, chez des patients adultes atteints de cancer du sein métastatique.",I000034,,
BEVACIZUMAB,AYBINTIO,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9000523 (AYBINTIO FL16ML)
9000524 (AYBINTIO FL4ML)"
BEVACIZUMAB,MVASI,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9000099 (MVASI FL16ML)
9000100 (MVASI FL4ML)"
BEVACIZUMAB,OYAVAS,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9001270 (OYAVAS FL 4ML)
9001271 (OYAVAS FL 16ML)"
BEVACIZUMAB,VEGZELMA,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"900265 (VEGZELMA FL 4ML)
9002652 (VEGZELMA FL 16ML)"
BEVACIZUMAB,ZIRABEV,,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9000024 (ZIRABEV FL16ML)
9000025 (ZIRABEV FL4ML)"
BEXAROTENE,TARGRETIN,,Hématologique,"Traitement des manifestations cutanées des lymphomes cutanés T
 épidermotropes (LCT) de l’adulte, au stade avancé et réfractaires à au moins un traitement systémique",,,
BEXAROTÈNE,TARGRETIN,PO,Hématologique,"Traitement des manifestations cutanées des lymphomes cutanés T
 épidermotropes (LCT) de l’adulte, au stade avancé et réfractaires à au moins un traitement systémique",,,
BICALUTAMIDE,CASODEX,PO,Uro/néphrologie,"Traitement du cancer de la prostate localement avancé, à haut risque de progression de la maladie, soit en traitement seul soit en traitement adjuvant à la prostatectomie radicale ou à la radiothérapie",,,
BINIMETINIB,MEKTOVI,,Dermatologique,En association à l’encorafénib dans le traitement de patients adultes atteints de mélanome non résécable ou métastatique porteur d'une mutation BRAF V600,,,
BINIMÉTINIB,MEKTOVI,PO,Dermatologique,En association à l’encorafénib dans le traitement de patients adultes atteints de mélanome non résécable ou métastatique porteur d'une mutation BRAF V600,,,
BLEOMYCINE,BLÉOMYCINE BELLON,,Dermatologique,Traitement des carcinomes épidermoïdes,,,
BLINATUMOMAB,BLINCYTO,IV,Hématologique,"BLINCYTO est indiqué en monothérapie dans le traitement des patients pédiatriques à partir de l’âge de 1 an, présentant une LAL à précurseurs B exprimant le CD19 avec chromosome Philadelphie négatif en première rechute à haut risque dans le cadre du traitement de consolidation",I000587,,9412129
BLÉOMYCINE,BLEOMYCINE BELLON,,Dermatologique,Traitement des carcinomes épidermoïdes,,,
BLÉOMYCINE,BLÉOMYCINE BELLON,"IM
 IV
 SC",Dermatologique,Traitement des carcinomes épidermoïdes,,,
BMS-986158,BMS-986158,PO,Autre,Carcinome de la ligne médiane NUT : ayant échappé à une chimiothérapie par sels de platine et en présence d'une mutation BRD4,,NBMS901,"9001898 (0,25 mg)
9001899 (2 mg)"
BORTEZOMIB,VELCADE,,Hématologique,"En association à la dexaméthasone, est indiqué pour le traitement des patients adultes atteints de myélome multiple en progression, ayant reçu au moins un traitement antérieur et ayant déjà bénéficié ou étant inéligibles à une greffe de cellules souches hématopoïétiques.",I000363,,
BORTÉZOMIB,VELCADE,IV,Hématologique,"En association à la dexaméthasone, est indiqué pour le traitement des patients adultes atteints de myélome multiple en progression, ayant reçu au moins un traitement antérieur et ayant déjà bénéficié ou étant inéligibles à une greffe de cellules souches hématopoïétiques.",I000363,,
BOSUTINIB,BOSULIF,PO,Hématologique,Traitement des patients adultes atteints de leucémie myéloïde chronique à chromosome Philadelphie positif (LMC Ph+) en phase chronique (PC) nouvellement diagnostiquée.,,,
BOTENSILIMAB,BOTENSILIMAB,IV,Digestif,Cancer colorectal (avec mutation KRAS G12C),,NBOTE01,9003718
"BRENTUXIMAB 
 VEDOTIN",ADCETRIS,IV,Hématologique,"Traitement du lymphome hodgkinien (LH) CD30 positif de stade III chez les patients adultes en première ligne, en association avec la doxorubicine, la vinblastine et la dacarbazine (AVD)",,,
BREXUCABTAGENE AUTOLEUCEL,TECARTUS,IV,Hématologique,"Traitement des patients adultes âgés de 26 ans et plus atteints de leucémie aiguë lymphoblastique (LAL) de la lignée B réfractaire ou en rechute en dernier recours : 
- Phi + après au moins deux lignes de traitement 
- Phi - après au moins deux lignes de traitement et en échec ou non éligibles au blinatumomab et à l’inotuzumab",,CKTEX02,9000804
BRIGATINIB,ALUNBRIG,PO,Bronchopulmonaire,En monothérapie pour le traitement des patients adultes atteints d’un cancer bronchique non à petites cellules (CBNPC) avancé présentant un réarrangement du gène ALK (ALK positif) et prétraités par crizotinib.,,,
BUSULFAN,BUSILVEX,IV,Hématologique,Busulfan administré à la suite de fludarabine (FB) est indiqué comme traitement de conditionnement préalable à une greffe de cellules souches hématopoïétiques (CSH) chez l'adulte éligible à un conditionnement à intensité réduite (RIC),I000045,,
BUSULFAN,MYLERAN,PO,Hématologique,"Traitement de la leucémie myéloïde chronique en cas de résistance ou
 de contre-indication aux autres traitements",,,
BÉVACIZUMAB,ABEVMY,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9001247 (ABEVMY FL16ML)
9001249 (ABEVMY FL4ML)"
BÉVACIZUMAB,ALYMSYS,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9001120 (ALYMSYS FL16ML)
9001121 (ALYMSYS FL4ML)"
BÉVACIZUMAB,AVASTIN,IV,Sein,"AVASTIN en association au paclitaxel, est indiqué en traitement de première ligne, chez des patients adultes atteints de cancer du sein métastatique.",I000034,,
BÉVACIZUMAB,AYBINTIO,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9000523 (AYBINTIO FL16ML)
9000524 (AYBINTIO FL4ML)"
BÉVACIZUMAB,MVASI,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9000099 (MVASI FL16ML)
9000100 (MVASI FL4ML)"
BÉVACIZUMAB,OYAVAS,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9001270 (OYAVAS FL 4ML)
9001271 (OYAVAS FL 16ML)"
BÉVACIZUMAB,VEGZELMA,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"900265 (VEGZELMA FL 4ML)
9002652 (VEGZELMA FL 16ML)"
BÉVACIZUMAB,ZIRABEV,IV,Cf. médicament de référence,Autres indications => Voir Avastin (médicament biologique de référence),Cf. médicament de référence,,"9000024 (ZIRABEV FL16ML)
9000025 (ZIRABEV FL4ML)"
CABAZITAXEL,JEVTANA,IV,Uro/néphrologie,"En association à la prednisone ou à la prednisolone est indiqué dans le traitement des patients avec un cancer de la prostate métastatique, hormonorésistant, précédemment traités par un traitement à base de docétaxel.",I000203,,"9000735 (CABAZITAXEL ACCORD)
9000710 (CABAZITAXEL EVER PHARMA 45 mg)
9000712 (CABAZITAXEL EVER PHARMA 50 mg)
9000713 (CABAZITAXEL EVER PHARMA 60 mg)
9000412 (CABAZITAXEL REDDY)
9000612 (CABAZITAXEL TEVA TVS)
9002572 (CABAZITAXEL TEVA TVP)
9001492 (CABAZITAXEL ZENTIVA)
9365950 (JEVTANA)
9002281 (CABAZITAXEL VIA)
9003239 (CABAZITAXEL SANDOZ 45 mg)
9003240 (CABAZITAXEL SANDOZ 60 mg)"
CABOZANTINIB,CABOMETYX,PO,Uro/néphrologie,En association avec le nivolumab traitement de première ligne du carcinome à cellules rénales avancé chez l’adulte,,,
CAPECITABINE,XELODA,,Sein,"En association avec le docétaxel dans le traitement du cancer du sein localement avancé ou métastatique, après échec à une chimiothérapie cytotoxique. La chimiothérapie antérieure doit avoir comporté une anthracycline.",,,
CAPMATINIB,CAPMATINIB,PO,Bronchopulmonaire,"Monothérapie dans le cancer bronchique non à petites cellules (CBNPC), localement avancé ou métastatique présentant une mutation de l’exon-14 de c-MET ayant déjà reçu au moins une première ligne de traitement par chimiothérapie ± immunothérapie",,NCAPM02,
CAPMATINIB,TABRECTA,PO,Bronchopulmonaire,"En monothérapie pour le traitement des patients adultes présentant un cancer bronchique non à petites cellules (CBNPC), localement avancé ou métastatique présentant une mutation de l’exon-14 de c-MET ayant déjà reçu au moins une première ligne de traitement par chimiothérapie ± immunothérapie",,CCAPM01,"9001504
9002820
9002821
9451282"
CAPÉCITABINE,XELODA,PO,Sein,"En association avec le docétaxel dans le traitement du cancer du sein localement avancé ou métastatique, après échec à une chimiothérapie cytotoxique. La chimiothérapie antérieure doit avoir comporté une anthracycline.",,,
CARBOPLATINE,CARBOPLATINE,IV,Autre,"Carcinome de l'ovaire d'origine épithéliale.
Carcinome bronchique à petites cellules.
Carcinome épidermoïde des voies aérodigestives supérieures",,,
CARFILZOMIB,KYPROLIS,IV,Hématologique,"Kyprolis en association avec le daratumumab et la dexaméthasone, avec le lénalidomide et la dexaméthasone, ou avec la dexaméthasone seule, est indiqué dans le traitement du myélome multiple chez les patients adultes qui ont reçu au moins un traitement antérieur",I000586,,"9413838 (60 mg)
9420732 (10 mg)
9420749 (30 mg)"
CARMUSTINE,BICNU,IV,SNC,"Utilisé seul ou en association dans le traitement des :
· tumeurs cérébrales primitives ou secondaires,
· myélomes multiples,
· lymphomes hodgkiniens,
· lymphomes non hodgkiniens,
· mélanomes,
· conditionnement préalable à une greffe autologue de cellules souches hématopoïétiques (GCSH) pour le traitement des maladies hématologiques malignes (Maladie de Hodgkin’s / lymphome Non-Hodgkinien).",,,
CARMUSTINE,CARMUSTINE OBVIOUS,IV,Hématologique,"Traitement des néoplasmes malins suivants en monothérapie ou en combinaison avec d’autres agents antinéoplasiques et/ou d’autres mesures thérapeutiques (radiothérapie, chirurgie): 
- Tumeurs cérébrales (glioblastome, gliomes du tronc cérébral, medulloblastome, astrocytome et épendymome), tumeurs cérébrales métastatiques,
- Thérapie secondaire dans le traitement du lymphome non hodgknien et de la maladie de Hodgkin.
- Tumeurs du tractus gastro-intestinal,
- Mélanome malin en association avec d'autres médicaments antinéoplasiques
- Comme conditionnement avant une greffe autologue de cellules souches hématopoïétiques (CSH) en cas de malignités hématologiques (maladie de Hodgkin/lymphome non hodgkinien)",,,
CARMUSTINE,GLIADEL,Implant,SNC,GLIADEL Implant est indiqué en traitement d'appoint de la chirurgie chez les patients adultes atteints d’un glioblastome multiforme récurrent attesté histologiquement et pour lequel une résection chirurgicale est indiquée,I000152,,9212264
CB-103,CB-103,PO,Tête et cou,Adénocarcinome éthmoïdal,,NCB1001,9002688
CELLULES AUTOLOGUES CD3+ TRANSDUITES ANTI CD19,KTE-X19,IV,Hématologique,Leucémie aigüe lymphoblastique,,NCELL01,
CELLULES AUTOLOGUES CD3+ TRANSDUITES ANTI CD20,KTE-X19,IV,Hématologique,Leucémie aigüe lymphoblastique (LAL) à précurseurs B en rechute ou réfractaire chez l'adulte,,NCELL02,
CEMIPLIMAB,LIBTAYO,IV,Bronchopulmonaire,"En association avec une chimiothérapie à base de platine est indiqué pour le traitement de première intention des patients adultes atteints d’un CBNPC exprimant- PDL1 (dans ≥ 1 % des cellules tumorales), sans aberrations EGFR, ALK ou ROS1, qui présentent : CBNPC localement avancé qui ne sont pas candidats à une chimioradiothérapie définitive, ou CBNPC métastatique",,,
CERITINIB,ZYKADIA,,Bronchopulmonaire,En monothérapie en première ligne de traitement du cancer bronchique non à petites cellules (CBNPC) avancé avec réarrangement du gène anaplastic lymphoma kinase (ALKpositif) chez les patients adultes.,,,
CETUXIMAB,ERBITUX,,Digestif,Traitement des patients présentant un cancer colorectal métastatique avec gène RAS de type sauvage (K-RAS et N-RAS non muté) exprimant le récepteur du facteur de croissance épidermique (EGFR) en association à une chimiothérapie à base d’irinotecan,I000105,,"9260599
9301111 (Erbitux 500 mg)
9301128 (Erbitux 100 mg)"
CHLORAMBUCIL,CHLORAMINOPHENE,,Hématologique,Traitement de la leucémie lymphoïde chronique,,,
CHLORAMBUCIL,CHLORAMINOPHÈNE,PO,Hématologique,Traitement de la leucémie lymphoïde chronique,,,
CILTACABTAGENE AUTOLEUCEL,CARVYKTI,,Hématologique,"Traitement des patients adultes atteints d'un myélome multipe en rechute ou réfractaire qui ont déja reçus au moins trois traitements dont un immunomodulateur, un inhibiteur du protéasome, et un anticorps anti-CD38, et qui ont connu une progression de la maladie lors du dernier traitement.",,CCILT01,9002445
CILTACABTAGÈNE AUTOLEUCEL,CARVYKTI,IV,Hématologique,"Traitement des patients adultes atteints d'un myélome multipe en rechute ou réfractaire qui ont déja reçus au moins trois traitements dont un immunomodulateur, un inhibiteur du protéasome, et un anticorps anti-CD38, et qui ont connu une progression de la maladie lors du dernier traitement.",,CCILT01,9002445
CISPLATINE,CISPLATINE,IV,Gynécologique,En polychimiothérapie en association avec d'autres médicaments antinéoplasiques dans les cancers de l'endomètre,,,
CLADRIBINE,LEUSTATINE,IV,Hématologique,Traitement de la leucémie à tricholeucocytes,I000223,,9168014
CLADRIBINE,LITAK,SC,Hématologique,Traitement de la leucémie à tricholeucocytes,I000227,,9271456
CLOFARABINE,EVOLTRA,IV,Hématologique,Traitement de la leucémie aiguë lymphoblastique (LAL) chez des patients pédiatriques en rechute ou réfractaires après au moins deux lignes de traitement et pour lesquels aucune alternative thérapeutique ne permet d’envisager une réponse durable,,,
COBIMETINIB,COTELLIC,,Dermatologique,En association au vemurafenib dans le traitement des patients adultes atteints d’un mélanome non résécable ou métastatique porteur d’une mutation BRAF V600,,,
COBIMÉTINIB,COTELLIC,PO,Dermatologique,En association au vemurafenib dans le traitement des patients adultes atteints d’un mélanome non résécable ou métastatique porteur d’une mutation BRAF V600,,,
CRENOLANIB,CRENOLANIB,PO,Hématologique,Leucémie aiguë myéloïde,,NCREN01,9000779
CRISANTASPASE,ENRYLAZE,IV,Hématologique,Traitement de la leucémie lymphoblastique aiguë et du lymphome lymphoblastique chez les patients adultes et pédiatriques (1 mois et plus) qui ont développé une hypersensibilité ou une inactivation silencieuse à l'asparaginase dérivée d'E. coli.,,,
CRIZOTINIB,CRIZOTINIB,PO,Autre,"Indication pédiatrique dans la tumeur myofibroblastique inflammatoire, en rechute ou réfractaire, ALK-positif , et chez les patients ne pouvant avaler les gélules ou nécessitant une adaptation de dose particulière.",,NCRIZ03,9390793
CRIZOTINIB,XALKORI,PO,Bronchopulmonaire,En première ligne de traitement des patients adultes ayant un cancer du poumon non à petites cellules (CPNPC) (ALK)-positif et avancé.,,,"9389258 (200 mg)
9389264 (250 mg)"
CYCLOPHOSPHAMIDE,ENDOXAN,IV,Hématologique,"A forte dose, conditionnement des allo- et autogreffes médullaires",,,
CYTARABINE,ARACYTINE,IV,Hématologique,Pour l’induction de la rémission dans la leucémie myéloïde aiguë de l’adulte et pour d’autres leucémies aiguës de l’adulte et de l’enfant,,,
CÉRITINIB,ZYKADIA,PO,Bronchopulmonaire,En monothérapie en première ligne de traitement du cancer bronchique non à petites cellules (CBNPC) avancé avec réarrangement du gène anaplastic lymphoma kinase (ALKpositif) chez les patients adultes.,,,
